request_id,forecast_time,power_output_w,power_output_f0_w,power_output_f10_w,power_output_f25_w,power_output_f50_w,power_output_f75_w,power_output_f90_w,power_output_f100_w,system_temperature_c,nominal_output_efficiency,air_temperature_c,cloud_cover_total,cloud_cover_high,cloud_cover_medium,cloud_cover_low,system_radiation_global_wm2,system_radiation_direct_wm2,system_radiation_diffuse_wm2,radiation_global_wm2,radiation_direct_wm2,radiation_diffuse_wm2
4492,2020-10-19 16:00:00+03,3147.1,543,966.5,1848.6,3134.6,3516.9,3836.4,4042.3,7.46,0.97,3.1,46.2,4.2,0,43.7,162.27,0,161.79,160.54,0,160.54
4492,2020-10-19 17:00:00+03,1751.5,642.4,797.4,1242.9,1523.7,1654.5,1752.9,1780.4,5.57,0.895,2.9,23,8.7,0,15.6,100.92,6.93,93.69,108.51,57.83,99.65
4492,2020-10-19 18:00:00+03,200.6,72.6,96.5,148.7,192.1,214.3,225.8,232.9,3.2,0.496,2.65,98.8,87.3,6.2,89.7,20.22,0,20.13,22.66,7.5,22.31
4492,2020-10-19 19:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.35,NaN,2.35,99,84.8,13.7,93.4,NaN,NaN,NaN,0,0,0
4492,2020-10-19 20:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,NaN,2.1,100,0.8,49.1,100,NaN,NaN,NaN,0.01,0.01,0.01
4492,2020-10-19 21:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8,NaN,1.8,100,38.2,93.7,99.5,NaN,NaN,NaN,0,0,0
4492,2020-10-19 22:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5,NaN,1.5,98,11.3,57.5,95.1,NaN,NaN,NaN,0,0,0
4492,2020-10-19 23:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.25,NaN,1.25,42.1,0,0,42.1,NaN,NaN,NaN,0,0,0
4492,2020-10-20 00:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.15,NaN,1.15,41.6,0,1.6,40.6,NaN,NaN,NaN,0,0,0
4492,2020-10-20 01:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.05,NaN,1.05,18.4,0,0,18.4,NaN,NaN,NaN,0,0,0
4492,2020-10-20 02:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8,NaN,0.8,5.5,2.5,0,3.1,NaN,NaN,NaN,0,0,0
4492,2020-10-20 03:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.55,NaN,0.55,59.2,57.7,0,3.7,NaN,NaN,NaN,0,0,0
4492,2020-10-20 04:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,NaN,0.25,42.6,38.4,0,6.8,NaN,NaN,NaN,0,0,0
4492,2020-10-20 05:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,19.9,4.5,0,16.1,NaN,NaN,NaN,0,0,0
4492,2020-10-20 06:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1,NaN,-0.1,5.6,0,0,5.6,NaN,NaN,NaN,0,0,0
4492,2020-10-20 07:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.35,NaN,-0.35,0,0,0,0,NaN,NaN,NaN,0,0,0
4492,2020-10-20 08:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.6,NaN,-0.6,0,0,0,0,NaN,NaN,NaN,0.01,0,0.01
4492,2020-10-20 09:00:00+03,185.7,180.6,182.9,185.2,186.4,187.6,187.6,188.8,-0.16,0.487,-0.7,0,0,0,0,19.2,1.36,17.89,15.84,5.25,15.71
4492,2020-10-20 10:00:00+03,2906.4,2776,2853.4,2892.2,2913,2930.9,2942.8,2951.7,3.85,0.974,-0.35,0,0,0,0,150.31,20.21,129.17,97.58,53.15,90.53
4492,2020-10-20 11:00:00+03,5448,5301,5373.3,5428.2,5465.8,5491.9,5515,5549.7,7.92,1.027,0.5,0,0,0,0,265.56,58.3,206.42,188.38,125.14,160.39
4492,2020-10-20 12:00:00+03,7204.9,6778.8,7080.3,7163.3,7202,7251.8,7279.4,7290.5,11.31,1.034,1.45,0.5,0,0,0.5,347.34,95.55,250.9,260.5,187.17,206.36
4492,2020-10-20 13:00:00+03,7869.9,6959.5,7757.5,7822.9,7870,7914.5,7932.8,7974.6,13.25,1.032,2.3,0.4,0,0,0.3,380.34,113.65,265.77,300.8,222.43,228.61
4492,2020-10-20 14:00:00+03,7473.8,6917.8,7340.1,7411.4,7453.1,7497.3,7519.4,7534.2,13.54,1.027,3,11.5,11.5,0,0,364.26,105.21,258.17,304.34,225.17,230.71
4492,2020-10-20 15:00:00+03,5947,4848.6,5888.7,5942.9,6062.4,6091.8,6112.1,6136.9,11.97,1.017,3.45,50.5,50.5,0,0,295.21,65.55,228.91,263.58,171.43,212.76
4492,2020-10-20 16:00:00+03,3788.9,3105.3,3412.4,3693.6,3791.3,3998.8,4028.7,4046.6,9.2,0.985,3.6,70.5,70.5,0,0,196.71,28.76,167.41,189.98,109.74,164.18
4492,2020-10-20 17:00:00+03,1620.5,1280.2,1395.7,1487.1,1569,1695.7,1747,1806.4,6.03,0.881,3.35,96.3,96.3,0.2,0,94.2,4.91,89.05,101.02,42.89,94.7
4492,2020-10-20 18:00:00+03,177.8,138,152.9,166.1,175.8,186.3,203,215.3,3.26,0.473,2.7,99.4,99.4,6,0,18.81,0,18.75,20.23,3.64,20.08
4492,2020-10-20 19:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9,NaN,1.9,94.7,93.4,19.2,0,NaN,NaN,NaN,0,0.03,0
4492,2020-10-20 20:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.05,NaN,1.05,74.8,67.7,22.2,0,NaN,NaN,NaN,0,0.01,0
